account,changes
b20bb9105e007bd3e0f73d63d4d3da2c8f736b77,99
9baa3244565d51d9c7897c0eb6679ed4890e536e,0
a6d18bc2f8767fda42780effb6c623b31cc69906,0
28e5a2ff8c8366088c0c8862f60ab7934e6ca430,0
ba54ae6056f3eeff31651c5e1fdb8b3b0efb8862,5
c7f6bb759b91d90fc97c2b88aee7a7c6f674746f,0
d1bd27c9be2943e8ec0ce43d6f8b8f9ce434eeb7,0
65fdc9a172746d54a5b05e6ac5130b991abaf079,0
64c39a77c5c2bc7c30de916539e186f9a273c9d9,0
54a03db2784e3d0acc08344d05385d0b62d4f432,7
12a1d74f8697b9f4f1eebb0a9d0fb6a751366399,0
3c144f1ed00557e75d541bd925ce563bc2b50423,0
ed1ba0ba5661d648c7b3988dac473f60403aff1e,0
9a33b1b4d7ecd9eea9c59ae8b7b93bb4af71d36a,5
625bcc1142e97796173104a6e817ee46c593b3c5,0
6cbf5988eeea605ba2b39ad97a57f7ad42e41e29,2
1803c760451dc8da8935c7b7e47e1c60910e6986,0
b13dd6c851cf9881361e5c453af23f7888b237c0,0
3e5d1a0bc211945c404292d046d5711ce4cf13e9,0
ce658e386fac0646cedaf810070f0525af14d11d,7
0a8b5419be1c38d3d310b8364b84454274142f83,0
d3ca1d63cff1f9f7b4bdfc8d1ba4110149db62e3,5
1d56b37b572b58fc19ee2d454a80faeb9129bf4e,2
f428262e249aac661be53d373f95f05a8953a456,0
329d0c4a58b3cefdb40c5513e155228f6cc7b6c5,23
dc779a9693291b285d74d9a15ffde5dc81007925,0
3c5e0e2a748d6577231bba856d50bc122a405fd7,0
06415bda9cebfbb54d81278e6b4c8a160c33bc55,0
5a60333cafa7e7326b77863136d920e93efabc94,0
64b6671e220997eda04e6482b6fb2149f0739853,0
7272ba8bf8bd1a930a7e79c9346ee9b9728b8c5e,7
6490e12d480549d333499236ff2ba6676c296011,9
000f3df6d732807ef1319fb7b8bb8522d0beac02,2
03a1b8a29af5bb9dd80bf5ec020fc11f476874cd,0
e7d2d0d752ff6589aeb09889f41968681957fdfb,0
0469760d321d08ab4fce75e2e799902c9f55da59,418
a5d433dd45d1e85220ade473c4910a97b42f6a2d,0
a067fc95c22d51c3bc35fd4be37414ee8cc890d2,10
b8034c65f0a98fb20af16a56626c3f664cebb04c,0
08a3f537c4bbe8b6176420f4cd0c84b02172dc65,2
26b040fa5a699aec38d5c76a9102e651f8410661,0
53c3b91e547d18c42c997280519851d3596bedca,21
fe46d95ae3d46d2ff11c246a38bcb4456621f9e6,0
893e783ec0293f9d7fb0a043f8d2fb02fc65e0ec,0
5078c03c3f4d8b98ab426889ef2255c46b77a88b,0
7b399987d24fc5951f3e94a4cb16e87414bf2229,0
bb80f15f19c0fe92841db7b63c63714a90e54e84,0
f22160f150636f942727014626ffb631a2d8bcd4,8
f86de7d7bcbbdc8f73c99b17fe7c08de3c6d95a5,2
96d60c73b46ad608857c91f3b5aeaa10c38ecfac,0
2f6a076e89b3df6d76015caeb529e4997673e659,0
de59a71027b7605deb314a39a8455f1d69b7a9a3,0
8c5ac30834d3f85a66b1d19333232bb0a9ca2db0,12
179be112b24ad4cfc392ef8924dfa08c20ad8583,1
6d157fe058174f13ecda6da178e32387ad850c12,0
ae6b9fec09dbb09ebbbc1bb17d43d570e355f6e7,0
90223d4f78fa8c46862f947f143f6e04e5e16477,2
6fc53486f60bb7cf0b547bc519f87b6050d803d1,0
e1e210594771824dad216568b91c9cb4ceed361c,0
5ea9d0d54a9ed385a8b336454969ff50ed350bf1,0
aa29c4206c85733151c55160cd763820122801a5,0
5b6ab1a7d9d6b3c14e49088233fd77028d6b1617,0
3099aae19d04225e476945648c8b22cce3618561,0
2e5547dce09d23ec17e9cad12698b2678a1cdad9,1
a2ab876f5155d594a344d59d138980c37a2a4f85,0
23bd58929efbe6469c188459d288437737191328,4
0000000000a2d441d85315e5163deec094bf6fe1,0
c9c90d05de1239b2873dd65f8e63c2fed3203189,0
1317106dd45ff0eb911e9f0af78d63fbf9076f69,1
6409662c6badf83bc2c0ef55e6842aaa56045b8b,0
a5659ea4bc8b711c5bd52156619ee2d68643aaa8,0
6b61e9eef539c92c68c9f8fc7057e871933787ff,0
7f4f82eb082301daff43d29ba1af5fa4e46268e3,2
b3684fbafa827cbb44b1ebd0d808c89e8533a865,0
6cc9397c3b38739dacbfaa68ead5f5d77ba5f455,0
d9e10f48326a0845196a9ff759d1dd0fcd4278b8,0
f458747c6d6db57970de80da6474c0a3dfe94bf1,1
a649b3872a23a0e395f000a5dcf718eb5dcfdd9f,0
2b5d3f82c89e620520aa5788d0d9da7069fae474,0
bcb92b2cf47f6a6a9c9a564edb2b6350c22bcb48,14
79c9109b764609df928d16fc4a91e9081f7e87db,14
76f1d0f84a1ac34f4e8b466963eaa43525eba234,0
bd95c31c3035d93c53106cd00a727f7c4664f2c8,6
3d774c153d11e3f10c897155076b4d409f407bb6,0
8078d1e525e9c9070194b5eb9a403ce88661cabb,5
604216148e051c9a3baff785b8246579051e724d,0
6850d300a6cf01e02fcde42bd53d49d9d6db8cff,0
8e8fb421d809709d4c0f34e31fb1b68e8b054309,0
1bc5bdf9f212afe7d83bb436515a438761d62c71,0
51abd32ebcee197cdde09dbd5e6b4451f47b9b47,0
